SHIPPING_LOCATION,DEPARTMENT,CATEGORY,SUBCATEGORY,BREADCRUMBS,SKU,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRICE_CURRENT,PRODUCT_SIZE,PROMOTION,RunDate,Month,Season,IsWinter,IsSummer,IsIceCream,Price_Change,Days_Since_Last_Price_Update,Predicted_Price,Adjusted_Price
30301,Frozen Foods,Ice Cream,,Frozen Foods/Ice Cream,314320206,https://www.walmart.com/ip/Chocolate-Ice-Cream,"Breyers Chocolate Ice Cream, 48 Oz",Breyers,6.99,6.99,48,Regular,2022-05-04,5,Spring,0,0,1,0.0,0.0,6.989999999999981,6.989999999999981
60601,Snacks,Nuts & Seeds,,Snacks/Nuts & Seeds,243386915,https://www.walmart.com/ip/Sunflower-Seeds,"David Sunflower Seeds, 8 Oz",David,3.49,3.49,8,Regular,2022-10-11,10,Fall,0,0,0,0.0,0.0,3.4899999999999487,3.4899999999999487
10001,Snacks,Nuts & Seeds,,Snacks/Nuts & Seeds,263459542,https://www.walmart.com/ip/Almonds,"Blue Diamond Almonds, 6 Oz",Blue Diamond,5.99,5.99,6,Regular,2022-08-07,8,Summer,0,1,0,0.0,0.0,5.990000000000002,5.990000000000002
10001,Snacks,Nuts & Seeds,,Snacks/Nuts & Seeds,491562693,https://www.walmart.com/ip/Almonds,"Blue Diamond Almonds, 6 Oz",Blue Diamond,5.99,5.99,6,Regular,2022-10-25,10,Fall,0,0,0,0.0,0.0,5.9899999999999896,5.9899999999999896
60601,Snacks,Chips,,Snacks/Chips,852304296,https://www.walmart.com/ip/Tortilla-Chips,"Tostitos Tortilla Chips, 10 Oz",Tostitos,3.49,3.49,10,Regular,2022-05-07,5,Spring,0,0,0,0.0,0.0,3.4899999999999487,3.4899999999999487
30301,Deli,"Hummus, Dips, & Salsa",,"Deli/Hummus, Dips, & Salsa",548402801,https://www.walmart.com/ip/Classic-Hummus,"Marketside Classic Hummus, 10 Oz",Marketside,2.67,2.67,10,Regular,2022-07-18,7,Summer,0,1,0,0.0,0.0,2.67,2.67
10001,Frozen Foods,Frozen Vegetables,,Frozen Foods/Frozen Vegetables,938222218,https://www.walmart.com/ip/Spinach,"Green Giant Spinach, 16 Oz",Green Giant,2.49,2.49,16,Regular,2022-08-28,8,Summer,0,1,0,0.0,0.0,2.4900000000000078,2.4900000000000078
60601,Bakery,Bread,,Bakery/Bread,921492975,https://www.walmart.com/ip/Whole-Wheat-Bread,"Arnold Whole Wheat Bread, 20 Oz",Arnold,2.99,2.99,20,Regular,2022-11-03,11,Fall,0,0,0,0.0,0.0,2.9900000000000087,2.9900000000000087
10001,Frozen Foods,Frozen Meals,,Frozen Foods/Frozen Meals,536138873,https://www.walmart.com/ip/Frozen-Pizza,"DiGiorno Frozen Pizza, 30 Oz",DiGiorno,6.99,6.99,30,Regular,2022-06-18,6,Summer,0,1,0,0.0,0.0,6.989999999999981,6.989999999999981
30301,Beverages,Soda,,Beverages/Soda,847277991,https://www.walmart.com/ip/Cola,"Coca-Cola Cola, 2 L",Coca-Cola,1.99,1.99,2,Regular,2022-01-28,1,Winter,1,0,0,0.0,0.0,1.990000000000008,1.990000000000008
60601,Frozen Foods,Frozen Vegetables,,Frozen Foods/Frozen Vegetables,397531486,https://www.walmart.com/ip/Spinach,"Green Giant Spinach, 16 Oz",Green Giant,2.49,2.49,16,Regular,2022-10-09,10,Fall,0,0,0,0.0,0.0,2.490000000000008,2.490000000000008
30301,Snacks,Chips,,Snacks/Chips,801203615,https://www.walmart.com/ip/Tortilla-Chips,"Tostitos Tortilla Chips, 10 Oz",Tostitos,3.49,3.49,10,Regular,2022-01-01,1,Winter,1,0,0,0.0,0.0,3.4899999999999625,3.4899999999999625
90001,Snacks,Chips,,Snacks/Chips,724286177,https://www.walmart.com/ip/Potato-Chips,"Lay's Potato Chips, 8 Oz",Lay's,2.99,2.99,8,Regular,2022-06-28,6,Summer,0,1,0,0.0,0.0,2.9900000000000073,2.9900000000000073
10001,Frozen Foods,Frozen Meals,,Frozen Foods/Frozen Meals,211449091,https://www.walmart.com/ip/Frozen-Pizza,"DiGiorno Frozen Pizza, 30 Oz",DiGiorno,6.99,6.99,30,Regular,2022-07-15,7,Summer,0,1,0,0.0,0.0,6.989999999999981,6.989999999999981
30301,Frozen Foods,Ice Cream,,Frozen Foods/Ice Cream,892332215,https://www.walmart.com/ip/Vanilla-Ice-Cream,"Haagen-Dazs Vanilla Ice Cream, 14 Oz",Haagen-Dazs,4.99,4.99,14,Regular,2022-10-15,10,Fall,0,0,1,0.0,0.0,4.989999999999935,4.989999999999935
79936,Frozen Foods,Frozen Meals,,Frozen Foods/Frozen Meals,184194123,https://www.walmart.com/ip/Frozen-Pizza,"DiGiorno Frozen Pizza, 30 Oz",DiGiorno,6.99,6.99,30,Regular,2022-01-28,1,Winter,1,0,0,0.0,0.0,6.989999999999984,6.989999999999984
10001,Frozen Foods,Frozen Meals,,Frozen Foods/Frozen Meals,556447895,https://www.walmart.com/ip/Frozen-Pizza,"DiGiorno Frozen Pizza, 30 Oz",DiGiorno,6.99,6.99,30,Regular,2022-01-27,1,Winter,1,0,0,0.0,0.0,6.989999999999984,6.989999999999984
